简体中文(源),参考语言(英文),资源编码
"未查询到运营租户相关信息,tenantid=","Failed to find operating tenant related information, tenantid=",P_DIWORK_YC_CPU-PORTAL_0000057827
"需求[\"" + ipuPuReq.getProductName() + \""]的状态不是已推合同，不能一键合同下订单！",The demand status is not pushed contract. Cannot place orders by one key for contract.,P_DIWORK_YC_CPU-PORTAL_0000059639
合同付款比例总和不等于100%，请检查！,The sum of contract payment proportions is not equal to 100%. Please check.,P_DIWORK_YC_CPU-PORTAL_0000059692
合同.xls,Contract.xls,P_DIWORK_YC_CPU-PORTAL_0000059703
变更后合同付款比例必须等于100%,The contract payment proportion must be equal to 100% after change,P_DIWORK_YC_CPU-PORTAL_0000059735
根据传入的reqId没有查询到需求单，reqId =,"Failed to find demand Doc by the submitted reqId, reqId =",P_DIWORK_YC_CPU-PORTAL_0000059746
根据传入的ctCode没有查询到合同，ctCode =,"Failed to find contract by the submitted ctCode, ctCode =",P_DIWORK_YC_CPU-PORTAL_0000059772
导出合同单 VO 为null,Exported contract VO is null,P_DIWORK_YC_CPU-PORTAL_0000059799
null 人员不存在,null Emp. does not exist,P_DIWORK_YC_CPU-PORTAL_0000059819
采购合同查询为空，id：,Purchase contract queried is empty. ID:,P_DIWORK_YC_CPU-PORTAL_0000059974
单次执行SQL条数超过阈值%d，请将减少租户或组件数量,No. of SQL entries executed one time exceeds the threshold %d. Please reduce the No. of tenants or components,P_DIWORK_YC_CPU-PORTAL_0000060001
该激活码%s不是订单%s的激活码,This activation code%s is not an activation code for order%s,P_DIWORK_YC_CPU-PORTAL_0000060007
未匹配到订单 orderId,Failed to match order orderId,P_DIWORK_YC_CPU-PORTAL_0000060057
;组织范围类型：type=,; Org Range Type: type=,P_DIWORK_YC_CPU-PORTAL_0000060067
参数不正确，toformal不能为空！toformal：,Incorrect parameter. toformal cannot be empty. toformal:,P_DIWORK_YC_CPU-PORTAL_0000064959
采购发票详情.xlsx,Purchase Invoice Details.xlsx,P_DIWORK_YC_CPU-PORTAL_0000064960
供应商档案关联的租户没有tenantid！enterpriseId：,The tenant associated with supplier file has no tenantid. enterpriseId:,P_DIWORK_YC_CPU-PORTAL_0000064976
根据id查询报价单为空，id：,Quotation queried by ID is empty. ID:,P_DIWORK_YC_CPU-PORTAL_0000064987
参数不正确，priceid不能为空！priceid：,Incorrect parameter. priceid cannot be empty. priceid:,P_DIWORK_YC_CPU-PORTAL_0000064997
参数不正确，buyofferid不能为空！buyofferid：,Incorrect parameter. buyofferid cannot be empty. buyofferid:,P_DIWORK_YC_CPU-PORTAL_0000065000
付款比例总和不等于100%，请检查！,The sum of payment proportions does not equal 100%. Please check.,P_DIWORK_YC_DECISION_0000064223
招标信息.xls,Bid Invitation Info.xls,P_DIWORK_YC_DECISION_0000064233
"提交审批流结束，sugSupplierHasFlow,{}, 耗时（ms）：{}==================================================================","Submitted to approval process already. sugSupplierHasFlow,{}, time used (ms): {}",P_DIWORK_YC_DECISION_0000064238
: 付款比例总和不等于100%，请检查！,: The sum of payment proportions is not 100%. Please check.,P_DIWORK_YC_DECISION_0000064247
提交时的上次定标价相关-pdb,Related to the last bid award price at time of submission-pdb,P_DIWORK_YC_DECISION_0000064275
提交时的上次定标价相关-pdh,Related to the last bid award price at time of submission-pdh,P_DIWORK_YC_DECISION_0000064286
定标单id（pricedecisionId）不能为空！,Bid award Doc ID (pricedecisionId) is required.,P_DIWORK_YC_DECISION_0000064297
"定标单表头查询为空,id","Bid award Doc header query is empty, ID",P_DIWORK_YC_DECISION_0000064299
getPriceDecisionByIds 根据Ids查询定标单失败,Failed to query bid award Doc by Ids,P_DIWORK_YC_DECISION_0000064319
删除云审审批流程实例，失败！  msg =,Failed to delete the approval process instance of Cloud Approval.  msg =,P_DIWORK_YC_DECISION_0000064325
提交时的上次定标价相关-price,Related to Last bid award price at the time of submission-price,P_DIWORK_YC_DECISION_0000064342
<tr><th>单据id</th><th>单据类型</th><th>租户ID</th><th>用户ID</th><th>操作事件</th><th>操作时间</th><th>错误信息</th></tr>,<tr><th>Doc ID</th><th>Doc Type</th><th>Tenant ID</th><th>User ID</th><th>Operational Event</th><th>Operation Time</th><th>Error Info</th></tr>,P_DIWORK_YC_EC-CONTRACT_0000064565
"<head><meta charset=\""utf-8\""><title>友云采BPM异常邮件</title></head>","<head><meta charset=\""utf-8\""><title>You youGo BPM Exception Email</title></head>",P_DIWORK_YC_EC-CONTRACT_0000064571
%s[%s]已在相同单据的其它流程中配置，不能再次关联,%s [%s] has been configured in other processes of the same document and cannot be associated again,P_DIWORK_YC_EC-CONTRACT_0000064594
yuncai_插入租户信息from 必联网 平台出错 REST,yuncai_Error inserting tenant Info from ebnew.com platform REST,P_DIWORK_YC_EC_0000061441
"获取必联接口结果 失败，获取网关结果, reponse:","Failed to obtain ebnew.com interface result, obtain gateway result, response:",P_DIWORK_YC_EC_0000061450
分页参数不能为 null,Pagination parameter cannot be null,P_DIWORK_YC_EC_0000061467
分页查询条件不能为 null,Pagination query criteria cannot be null,P_DIWORK_YC_EC_0000061500
{CorpAccountDocName} 发布了[{subject}]寻源信息请及时报价。,{CorpAccountDocName} published [{subject}] demand fulfillment Info. Please quote in time.,P_DIWORK_YC_MALL-BUSI_0000063438
{CorpAccountDocName} 重新发布了[{subject}]寻源信息请及时报价。,{CorpAccountDocName} re-published [{subject}] demand fulfillment Info. Please quote in time.,P_DIWORK_YC_MALL-BUSI_0000063518
"我的项目分页条件查询时, 数据库异常-BiddingQueryBP-getBiddingsPageByCondition",Database error found during the pagination condition query of My Project-BiddingQueryBP-getBiddingsPageByCondition,P_DIWORK_YC_MALL-BUSI_0000064406
"我的项目不分页查询时, 数据库异常-BiddingQueryBP-getBiddingsByCondition",Database error found when the pagination query was not performed for My Project-BiddingQueryBP-getBiddingsByCondition,P_DIWORK_YC_MALL-BUSI_0000064413
"我的项目修改状态时, 数据库异常-BiddingServiceImpl-updateBiddingStatus",Database error found in the modified status of My Project-BiddingServiceImpl-updateBiddingStatus,P_DIWORK_YC_MALL-BUSI_0000064432
需求申请.xls,Requisition.xls,P_DIWORK_YC_MALL-BUSI_0000064501
ids 为空，返回,"ids is empty, returned",P_DIWORK_YC_MATERIAL_0000062404
deleteProductByIds 成功删除商品,Products deleted successfully,P_DIWORK_YC_MATERIAL_0000062437
平台物料分类编码[%s]不是末级分类或不存在,Platform material category code [%s] is not end level category or does not exist,P_DIWORK_YC_MATERIAL_0000062445
MaterialInnerServiceImpl  getMaterialById 方法出错：,Method Error:,P_DIWORK_YC_MATERIAL_0000062461
com.yonyou.yuncai.cpu.erpbom.dao.impl.ErpBomDaoImpl.getErpBom 查询条件不能为空.,Query criteria are required.,P_DIWORK_YC_MATERIAL_0000062523
com.yonyou.yuncai.cpu.erpbom.dao.impl.ErpBomDaoImpl.getErpBom 分页条件不能为空.,com.yonyou.yuncai.cpu.erpbom.dao.impl.ErpBomDaoImpl.getErpBom Pagination criteria are required.,P_DIWORK_YC_MATERIAL_0000062580
filepath 或 groupname为空！,filepath or groupname is empty.,P_DIWORK_YC_MA_0000063362
ncbase.appid没有配置,ncbase.appid not configured,P_DIWORK_YC_MOBILE-AD_0000061509
ncbase.server没有配置,ncbase.server not configured,P_DIWORK_YC_MOBILE-AD_0000061512
根据订单id查询订单详情出错：id-,Error querying order details by order ID: ID-,P_DIWORK_YC_ORDER_0000060886
updatePurOderDetailIstorestatus 更新供应商提交，修改采购订单表体执行情况跟踪出错, Error tracking the execution status of modifying the PO detail after submission update by supplier,P_DIWORK_YC_ORDER_0000060965
订单明细【{0}】对应的订单不存在。,Corresponding order of order detail [{0}] does not exist.,P_DIWORK_YC_ORDER_0000060973
发货单保存，如下销售订单不存在，id：,Shipping Doc saved. The following SO does not exist. ID:,P_DIWORK_YC_ORDER_0000061028
"GodownEntry2SupplyServiceImpl getDetailDataByCondOfDate 收货组织为空,无法查询",Receipt Org is empty. Cannot query,P_DIWORK_YC_ORDER_0000061033
销售订单接受、变更、拒绝回调服务错误，销售订单状态超出范围，saleorderSts =,"Error during accepting and changing SO and rejecting callback service, SO status beyond range, saleorderSts =",P_DIWORK_YC_ORDER_0000061072
"GodownEntry2SupplyServiceImpl getDetailDataByCondOfDate 自定义开始日期为空,无法查询",User-defined start date is empty. Cannot query,P_DIWORK_YC_ORDER_0000061076
"GodownEntry2SupplyServiceImpl getDetailDataByCondOfDate 日期查询标识为空,无法查询",Date query ID is empty. Cannot query,P_DIWORK_YC_ORDER_0000061105
"GodownEntry2SupplyServiceImpl getDetailDataByCondOfDate 供货商名称为空,无法查询",Supplier name is empty. Cannot query,P_DIWORK_YC_ORDER_0000061106
updatePurOderDetailIstorestatus 更新供应商提交，修改采购订单表体执行情况跟踪出错：,updatePurOderDetailIstorestatus Error tracking the execution status of modifying the PO detail after submission updated by supplier:,P_DIWORK_YC_ORDER_0000061170
updateOrderFromErpPub 更新数据出错,updateOrderFromErpPub Error updating data,P_DIWORK_YC_ORDER_0000061224
"GodownEntry2SupplyServiceImpl getDetailDataByCondOfDate 自定义结束日期为空,无法查询",Self-defined end date is empty. Cannot query,P_DIWORK_YC_ORDER_0000061397
EnterpriseServiceImpl queryEnterpriseByCriteria 更新云采租户扩展表信息失败,Failed to update youGo tenant extension table Info,P_DIWORK_YC_PRIVILEGE_0000063322
PendingMessageServiceImpl  getBillCount 查询不同订单的个数失败,Failed to query numbers of different orders,P_DIWORK_YC_PRIVILEGE_0000063325
EnterpriseServiceImpl queryEnterpriseByCriteria 按照查询条件查询租户失败,Failed to query tenant by query criteria,P_DIWORK_YC_PRIVILEGE_0000063327
变更公告查询为null，id：,Change announcement query is null. ID:,P_DIWORK_YC_PU-APP_0000063634
招标计划查询为null，id：,Bid invitation plan query is null. ID:,P_DIWORK_YC_PU-APP_0000063635
中标候选人查询为null，id：,"Winning candidate query is null, ID:",P_DIWORK_YC_PU-APP_0000063637
供应商变更单加载变更字段为null，supplyChange：,"The load change field of supplier change Doc is null, supplyChange:",P_DIWORK_YC_PU-APP_0000063640
资格预审查询为null，id：,Prequalification query is null. ID:,P_DIWORK_YC_PU-APP_0000063643
专家方案查询为null，id：,Expert scheme query is null. ID:,P_DIWORK_YC_PU-APP_0000063646
供应商变更单查询为null，id：,Supplier change Doc query is null. ID:,P_DIWORK_YC_PU-APP_0000063648
招标公告查询为null，id：,Bid invitation announcement query is null. ID:,P_DIWORK_YC_PU-APP_0000063654
中标通知书查询为null，id：,Bid-winning notification queried is null. ID:,P_DIWORK_YC_PU-APP_0000063660
中标结果公告查询为null，id：,Bid winning result announcement query is null. ID:,P_DIWORK_YC_PU-APP_0000063662
采购订单查询为null，id：,"PO query is null, ID:",P_DIWORK_YC_PU-APP_0000063667
供应商查询为null，id：,"Queried supplier is null, ID:",P_DIWORK_YC_PU-APP_0000063670
流标公告查询为null，id：,Bid failure announcement query is null. ID:,P_DIWORK_YC_PU-APP_0000063675
定标单查询为null，id：,"Queried bid award Doc is null, ID:",P_DIWORK_YC_PU-APP_0000063681
需求申请单查询为null，id：,Requisition query is null. ID:,P_DIWORK_YC_PU-APP_0000063682
询价单查询为null，id：,RFQ query is null. ID:,P_DIWORK_YC_PU-APP_0000063683
招标立项查询为null，id：,Bid invitation and project creation query is null. ID:,P_DIWORK_YC_PU-APP_0000063686
本文件来源于友云采 https://yc.yonyoucloud.com/jinding/cashome.html 打印人:,The document comes from You youGo https://yc.yonyoucloud.com/jinding/cashome.html Printed by:,P_DIWORK_YC_REPORT_0000060082
iSupplyDocService.selectSupplyDocByCond  查询结果为空,iSupplyDocService.selectSupplyDocByCond Query result is empty,P_DIWORK_YC_SUP-LIB_0000060294
插入档案为空 insertSupplyDoc：,"Inserted file is empty, insertSupplyDoc:",P_DIWORK_YC_SUP-LIB_0000060330
撤回失败，参数return response;为空,"Failed to withdraw, parameter return response; empty",P_DIWORK_YC_SUP-MGR_0000058166
评分方式为百分制时，指标权重（不含减分项）总和不是100%，请检查,"When the grading method is 100-point system, the indicator weight (excluding minus score items) sum is not 100%. Please check",P_DIWORK_YC_SUP-MGR_0000058407
supplyDocId 为空,supplyDocId is empty,P_DIWORK_YC_SUP-MGR_0000058496
评估报告.xls,Assessment Report.xls,P_DIWORK_YC_SUP-MGR_0000058823
supDocId 为空,supDocId is empty,P_DIWORK_YC_SUP-MGR_0000059049
"提交审批流开始,approveRestVO:{}, priceId:{}, billType:BillTypeEnum.PRICEDECISION, bill:null, Class clazz:null","Start to submit to approval process, approveRestVO:{}, priceId:{}",P_DIWORK_YC_SUP-MGR_0000064881
"行,含税单价（==价税合计taxMny/godownNum）必传  \n"," line, Unit Price Incl. Tax (== Amt Incl. Tax taxMny/godownNum) must be submitted \n",P_DIWORK_YC_VMI_0000063990
"行,无税单价（计算得到，=无税金额mny/godownNum）必传  \n"," line, unit price Excl. tax (obtained by calculation, =Amt Excl. Tax mny/godownNum) must be submitted \n",P_DIWORK_YC_VMI_0000064117
<div style='    line-height: 18px;margin-bottom: 10px;'>退回再分配后，采购任务将会退回到物资需求的待分配状态，需要采购经理或计划员重新分配，您确定要将采购任务退回待分配状态吗？</div>,"<div style='    line-height: 18px;margin-bottom: 10px;'> When a purchase task is returned and allocated again, the material requisition of the purchase task will return to To be Allocated status, which needs to be allocated again by the purchase manager or planner. Are you sure you wish to return the purchase task to To be Allocated status? </div>",P_DIWORK_YC_YC-UI_0000057837
<div style='line-height: 18px;margin-bottom: 10px;'>转派后，采购任务将会从您的采购任务清单中删除，转移到转派目标人员的已受理采购任务清单中，您确定要转派吗？</div>,"<div style='line-height: 18px;margin-bottom: 10px;'> After transferring, the purchase tasks will be deleted from your purchase task list and transferred to the processed purchase task list of the target person. Confirm to transfer? </div>",P_DIWORK_YC_YC-UI_0000057838
向{0}发送短信失败，原因：{1},Failed to send SMS to {0}. Cause: {1},P_YS_0000129843
行号[{0}]的合同币汇率查询为空，请输入！,The exchange rate in contract currency in line [{0}] is blank. Please enter.,P_YS_AMP_ERCL-FE_1795086245768986637
查询档案父级出错，档案fullname：%s，档案id：%s，错误原因：%s,"Error querying file parent. File fullname: %s, file ID: %s, error reason: %s",P_YS_AMP_EVNT-BE_1731203555053273191
实体不存在，fullName：,The entity does not exist. fullName:,P_YS_AMP_REVENUE-BE_1748942671937798657
元数据关系上没有找特征属性，fullName:,"Failed to find found characteristic property in the metadata relationship, fullName:",P_YS_AMP_REVENUE-BE_1748942671937798933
财务公共档案类型 ID,Financial Public File Type ID,P_YS_AMP_YONBIP-FI-EAAI-MD_1805662164647149579
"校验文件标识(1-OK_数据文件名,2-数据文件名.OK)","Check file ID: 1-OK_ data file name, 2- Data file name.OK)",P_YS_AMP_YONBIP-FI-REVENUE-MD_1732126560704004520
"校验文件列序号,A,B字母","Check file column sequence number, A and B letters",P_YS_AMP_YONBIP-FI-REVENUE-MD_1732126560704004670
"列序号,A,B字母","Column sequence number, letters A and B",P_YS_AMP_YONBIP-FI-REVENUE-MD_1732126560704004826
{0}中存在作业方案中没有的作业序号:{1}。,{0} contains operation SN {1} that does not exist in the operation scheme,P_YS_AM_AIMF_0001371568
编码为{0}的专业为全局级数据，不能操作！,Profession {0} is of global level. Cannot operate,P_YS_AM_AIMF_0001582460
【工种】页签中的第{0}行人员数量，应大于0，请确认。,The personnel Qty in line {0} of the profession tab should be greater than 0. Please confirm,P_YS_AM_AIMF_1494477687968759817
【物料】页签中的第{0}行数量，应大于0，请确认。,The Qty in line {0} of the material tab should be greater than 0. Please confirm,P_YS_AM_AIMF_1494477687968759820
【工具】页签中的第{0}行工具数量，应大于0，请确认。,The tool Qty in line {0} of the tool tab should be greater than 0. Please confirm,P_YS_AM_AIMF_1494477687968759823
"资产卡片[{0},{1}]的状态在交易规则中不支持！","The status of asset card [{0},{1}] is not supported in the transaction rules",P_YS_AM_AIM_0001315770
"资产卡片[{0},{1}]的交易类型在交易规则中不支持！","The transaction type of asset card [{0},{1}] is not supported in the transaction rules",P_YS_AM_AIM_0001315772
dimension,dimension,P_YS_AM_AM-REPORT_1696952298987585565
total,total,P_YS_AM_AM-REPORT_1709532704850051090
months,months,P_YS_AM_AM-REPORT_1719423920046080116
rates,rates,P_YS_AM_AM-REPORT_1719423920046080125
proportion,proportion,P_YS_AM_AM-REPORT_1719423920046080176
proportionori,proportionori,P_YS_AM_AM-REPORT_1719423920046080179
timexz,timexz,P_YS_AM_AM-REPORT_1719423920046080194
monthdate,monthdate,P_YS_AM_AM-REPORT_1719423920046080206
wanyuan,wanyuan,P_YS_AM_AM-REPORT_1719423920046080212
allarea,allarea,P_YS_AM_AM-REPORT_1719423920046080227
yesrentarea,yesrentarea,P_YS_AM_AM-REPORT_1719423920046080230
norentarea,norentarea,P_YS_AM_AM-REPORT_1719423920046080233
valuez,valuez,P_YS_AM_AM-REPORT_1738623016580415495
valuezname,valuezname,P_YS_AM_AM-REPORT_1738623016580415507
allData,allData,P_YS_AM_AM-REPORT_1738623016580415510
spec,spec,P_YS_AM_AM-REPORT_1738623068104818722
sumrate,sumrate,P_YS_AM_AM-REPORT_1772807288333008913
坐标类型，点：point，线：line，多边形：polygon,"Coordinate type: point, line, polygon",P_YS_AM_AMBD-UI_1438137260418531349
仅支持GIF、JPG、PNG、BMP、JPEG、MP4、MOV格式，文件不大于10M，拖拽图片可调整顺序,"Only GIF, JPG, PNG, BMP, JPEG, MP4 and MOV formats are supported; no more than 10M. Drag picture to adjust order",P_YS_AM_AMBD-UI_1499093257416081415
租赁对象{0}为租出状态，不可停用,Lease object {0} is in lease-out status. Cannot disable,P_YS_AM_AMBDF_0001315479
第{0}行技术参数不能为空！,The technical parameter in line {0} is required,P_YS_AM_AMBDF_0001315481
测量点{0}已经是{1},Measurement point {0} already is in {1},P_YS_AM_AMBDF_0001315482
【工种】页签中的第{0}行人员数量，应为正整数，请确认。,The personnel Qty in line {0} of the profession tab should be a positive integer. Please confirm,P_YS_AM_AMBDF_0001315522
该人员已存在默认工种【工种编码 {0}，工种名称：{1}】，将当前工种设置为默认工种,"The personnel already has the default profession [code: {0}, name: {1}]. Set the current profession as the default profession",P_YS_AM_AMBDF_0001315523
第{0}行人员编码重复,The personnel code in line {0} is duplicate,P_YS_AM_AMBDF_0001315524
【工具】页签中的第{0}行工具数量，应为正整数，请确认。,The tool Qty in line {0} of the tool tab should be a positive integer. Please confirm,P_YS_AM_AMBDF_0001315525
【物料】页签中的第{0}行数量，应为正数，请确认。,The Qty in line {0} of the material tab should be a positive number. Please confirm,P_YS_AM_AMBDF_0001315526
第{0}行检验内容{1}与第{2}行检验内容重复，请修正后进行保存。,Inspection content {1} in line {0} is duplicate with the inspection content in line {2}. Please correct it before saving,P_YS_AM_AMBDF_0001382555
第{0}行检定/校准周期信息填写不规范，请检查,The verification/calibration cycle information in line {0} is not filled properly. Please check,P_YS_AM_AMBDF_1593339966758846492
没有【{0}】组织的权限,You do not have the permissions of Org [{0}],P_YS_AM_AMBD_0001571173
字段【{0}】不能为空!,Field [{0}] is required,P_YS_AM_AMBD_0001571185
当前资产卡片[{0}，{1}]不是已审核状态，不能进行业务操作,The current asset card [{0}，{1}] is not in Approved status. The business operation cannot be performed,P_YS_AM_AMBD_0001571190
分配信息的分摊比例和必须等于100%,The sum of allocation proportions in the distribution information must be equal to 100%,P_YS_AM_AMBD_1778768625649844233
"[{""code"":""busioperator"",""name"":""当前业务员""}]","[{""code"":""busioperator"",""name"":""Current Business Operator""}]",P_YS_AM_AMC-UI_0001038024
"[{""code"":""mainorg"",""name"":""默认主组织""}]","[{""code"":""mainorg"",""name"":""Default Primary Org""}]",P_YS_AM_AMC-UI_0001038025
资产编码{0}不能重复添加,Asset {0} cannot be added repeatedly,P_YS_AM_AMPUBF_0001315460
仅支持JPG、PNG、BMP、JPEG、MP4格式，文件不大于2M，拖拽图片可调整顺序,Only JPG、PNG、BMP、JPEG、MP4 formats are supported; no more than 2M. Drag to adjust order,P_YS_AM_AMPUBF_0001424868
仅支持JPG、PNG、BMP、JPEG、MP4、MOV格式,"Only JPG, PNG, BMP, JPEG, MP4, MOV are supported",P_YS_AM_AMPUBF_0001566840
第{0}行的开始日期与前一行的截止日期必须为连续日期，请确认。,The start date of line {0} and the end date of the previous line must be consecutive dates. Please confirm.,P_YS_AM_AMPUBF_1614824793331728389
资产{0}归还成功。,Asset {0} has been returned successfully.,P_YS_AM_AMPUBF_1614824793331728392
资产组织{0}没有委托维修组织或委托维修组织没有权限,Asset organization {0} does not have a delegated maintenance organization or does not have permissions,P_YS_AM_AMPUBF_1711893029912051717
保存失败：{0},Failed to save: {0},P_YS_AM_AMPUB_0000130050
{0}：{1},{0}:{1},P_YS_AM_AMPUB_0000130091
第{0}条数据与第{1}条数据重复!,Data entry {0} is duplicate with data entry {1},P_YS_AM_AMSF_0001315485
资产标签：[{0}:{1}]为默认，不可删除！,Asset label [{0}:{1}] is the default. Cannot delete,P_YS_AM_AMS_0001311905
第{0}行的资产与位置不能同时为空,The asset and location in line {0} cannot be null at the same time,P_YS_AM_AOM-BE_0001594292
当前单据的{0}交易规则中未指定当前状态{1}的资产可以进行生成单据的业务。,No business available for Doc generation is specified for the asset in the current status {1} in transaction rule {0} of the current Doc,P_YS_AM_AOM-BE_1484899661805780998
当前单据资产组织{0}与扫码资产卡片的资产组织不一致，不能添加。,Asset Org {0} in the current Doc is inconsistent with the asset Org in the scanned asset card. Cannot add,P_YS_AM_AOM-BE_1484899661805781001
【{0}】编制人和编制部门不匹配,[{0}] preparer and preparing department do not match,P_YS_AM_AOM-BE_1544984192693043209
【{0}】编制人和资产组织不匹配,[{0}] preparer and asset organization do not match,P_YS_AM_AOM-BE_1544984192693043212
【{0}】编制部门和资产组织不匹配,[{0}] preparing department and asset organization do not match,P_YS_AM_AOM-BE_1545836133805457414
抽取失败：{0},Failed to extract: {0},P_YS_AM_AOM-BE_1721004141609746442
cBillNo:{0};tenantId:{1};无BillItem信息无法完成抽取,cBillNo: {0};tenantId: {1}; no BillItem information. Failed to extract,P_YS_AM_AOM-BE_1721004141609746445
"成功{0},失败",Successful: {0}. Failed: ,P_YS_AM_AOM-BE_1721018950654885898
序号为{0}的表体行属于同一个资产或位置，在点检测量项目相同时测量标识符内容不能重复,"The detail lines with SNs {0} belong to the same asset or location, and the measurement identifier contents cannot be duplicate when the spot check measurement items are the same",P_YS_AM_AOM-FE_0001311508
序号为{0}的表体行在点检测量项目相同时测量标识符内容不能重复,"For the detail line with SN {0}, the measurement identifier contents cannot be duplicate when the spot check measurement items are the same",P_YS_AM_AOM-FE_0001311509
{0}行序号为空,No SN in line {0},P_YS_AM_AOM-FE_0001311514
与计划序号为{0}的表体行属于同一个资产或位置，点检标准明细不能相同,"The detail lines with plan SNs {0} belong to the same asset or location, and the spot check standard details cannot be the same",P_YS_AM_AOM-FE_0001311517
序号为{0}的表体行属于同一个资产或位置，点检标准明细不能相同,"The detail lines with SNs {0} belong to the same asset or location, and the spot check standard details cannot be the same",P_YS_AM_AOM-FE_0001311525
存在重复的序号{0},There is a duplicate SN {0},P_YS_AM_AOM-FE_0001311527
序号为{0}的表体行资产编码与位置编码不能同时为空,The asset code and location code in detail line [%s] cannot be null at the same time,P_YS_AM_AOM-FE_0001311528
第{0}行，没有故障现象不可添加至故障树,There's no failure symptom in line {0}. Cannot add to the failure tree,P_YS_AM_AOM-FE_0001417813
第{0}行，没有故障类别不可添加至故障树,There's no failure category in line {0}. Cannot add to the failure tree,P_YS_AM_AOM-FE_0001417814
第{0}行，没有故障原因不可添加至故障树,There's no failure reason in line {0}. Cannot add to the failure tree,P_YS_AM_AOM-FE_0001417815
上传失败，{0},"Failed to upload, {0}",P_YS_AM_AOM-FE_0001417827
上传成功，成功上传{0}项，删除无效数据{1}项,Uploaded successfully: {0} items were uploaded successfully and {1} invalid data entries were deleted,P_YS_AM_AOM-FE_0001417829
上传成功，成功上传{0}项,Uploaded successfully: {0} items were uploaded successfully,P_YS_AM_AOM-FE_0001417838
上传失败{0}项，请重新上传!,Failed to upload {0} items. Please upload again,P_YS_AM_AOM-FE_0001417841
不存在点检结果为{0}的数据,There is no data with the spot check result being {0},P_YS_AM_AOM-FE_0001417844
序号为{0}的表体行计划点检人、计划点检班组、计划点检部门不能同时为空,"The checking personnel, crew and Dept of the planned spot check in detail line {0} cannot be null at the same time",P_YS_AM_AOM-FE_0001417848
日期{0}点检完毕，本地数据删除失败,The spot check is completed on date {0}. Failed to delete the local data,P_YS_AM_AOM-FE_0001417850
较上年同期对比(%),Compared with the Same Period Last Year (%),P_YS_AM_AOM-FE_0001567177
计划概览：计划序号为{0}的表体行点检标准不能为空,Plan overview: the spot check standard in the detail line of plan {0} is required,P_YS_AM_AOM-FE_0001567179
点检项目详情：计划序号为{0}的表体行基于日历选中，日历及非工作日处理规则必输,"Spot check item details: the detail line of plan {0} is selected based on the calendar, and the calendar and the non-workday processing rules are required",P_YS_AM_AOM-FE_0001567183
点检项目详情：计划序号为{0}的表体行属于同一个资产或位置，在点检测量项目相同时测量标识符内容不能重复,"Spot check item details: the detail line of plan {0} belongs to the same asset or location, and the measurement identifier contents cannot be duplicate when the spot check measurement items are the same",P_YS_AM_AOM-FE_0001567184
计划序号为{0}的表体行数据已关闭，不可生成点检记录,The data in the detail line of plan {0} has been closed. Cannot generate the spot check record,P_YS_AM_AOM-FE_0001567187
计划概览：计划序号为{0}的表体行资产编码与位置编码不能同时为空,Plan overview: the asset code and location code in the detail line of plan {0} cannot be null at the same time,P_YS_AM_AOM-FE_0001567188
点检项目详情：计划序号为{0}的表体行下一点检日期不能小于当前日期,Spot check item details: the next spot check date in the detail line of plan {0} cannot be earlier than the current date,P_YS_AM_AOM-FE_0001567190
勾选的第{0}行数据处理方式是列入维修计划，不可生成工单,The data processing method in the checked line {0} is Incl. in Repair Plan. Cannot generate the case,P_YS_AM_AOM-FE_0001567192
序号为{0}的表体行在巡检测量项目相同时测量标识符内容不能重复,"In the detail line {0}, the measurement identifier contents cannot be duplicate when the check measurement items are the same",P_YS_AM_AOM-FE_0001567193
点检项目详情：计划序号为{0}的表体行属于同一个资产或位置，点检标准明细不能相同,"Spot check item details: the detail line of plan {0} belongs to the same asset or location, and the spot check standard details cannot be the same",P_YS_AM_AOM-FE_0001567194
是否确认将未处理的点检项目设置为{0}?,Confirm to set the unprocessed spot check item as {0}?,P_YS_AM_AOM-FE_0001567196
点检日期{0}已有点检数据，是否上传后再下载？,There already is spot check data on spot check date {0}. Upload and then download?,P_YS_AM_AOM-FE_0001567199
计划序号为{0}的表体行数据非周期计划，不可重复生成点检记录,The data in the detail line of plan {0} does not belong to the cycle plan. Cannot generate the spot check record repeatedly,P_YS_AM_AOM-FE_0001567204
点检项目详情：计划序号为{0}的表体行资产编码与位置编码不能同时为空,Spot check item details: the asset code and location code in the detail line of plan {0} cannot be null at the same time,P_YS_AM_AOM-FE_0001567205
点检项目详情：序号为{0}的表体行计划点检人、计划点检班组、计划点检部门不能同时为空,"Spot check item details: the checking personnel, crew and Dept of the planned spot check in detail line {0} cannot be null at the same time",P_YS_AM_AOM-FE_0001567208
[{0}]已生成工单，不能重复生单,A case has already been generated for [{0}]. Cannot generate again,P_YS_AM_AOM-FE_1422565770570760192
[{0}]已确认无效，不能进行业务处理,[{0}] has been confirmed as invalid. The business processing is not allowed,P_YS_AM_AOM-FE_1422565770570760198
[{0}]已确认请在工单工作台进行业务处理,[{0}] has been confirmed. Please conduct the business processing in the case workbench,P_YS_AM_AOM-FE_1422565770570760201
MTBF(h)左区间不能大于右区间,The left interval of MTB (h) cannot be greater than the right interval.,P_YS_AM_AOM-FE_1492251151152709632
MTTR(h)左区间不能大于右区间,The left interval of MTTR(h) cannot be greater than the right interval.,P_YS_AM_AOM-FE_1492251151152709635
